RuntimeManagerAPIName,ServerName,ArtefactID,RuntimeStatus,RuntimeAPIUpTime,APIMangerAPIName,AutodiscoveryInstanceName,AutodiscoveryApiName,ProductVersion,LastActiveDate,CreatedDate,UpdatedDate,PolicyName,PolicyStatus,PolicyCreatedDate,PolicyUpdatedDate
sys_gw_policy_policyRenewals_api,r1c3dev_awsbdlc3dmua01,sys_gw_policy_policyRenewals_api-1.0.1-342.zip,STARTED,17.4days,sys_gw_policy_policyrenewals_api,v1:16059155,groupId:80b9d969-5f1f-4d34-9e3d-9318f1ad915a:assetId:sys_gw_policy_policyrenewals_api,v1,2020-06-19T16:15:33.387Z,2020-03-16T12:38:24.046Z,,Custom - LDAPs Cache - v4,enabled,2020-03-16T12:38:24.046Z,
sys_marketingpreferences_api,r1c3dev_awsbdlc3dmua01,sys_marketingpreferences_api-1.0.0-296.zip,STARTED,17.4days,sys-marketing-preferences-api,v1:16059034,groupId:80b9d969-5f1f-4d34-9e3d-9318f1ad915a:assetId:sys-marketing-preferences-api,v1,2020-06-19T16:15:10.007Z,2020-03-16T11:40:15.575Z,,Custom - LDAPs Cache - v4,enabled,2020-03-16T11:40:15.575Z,
,,,,,sys-mib-dvla-api,v1:16204456,groupId:80b9d969-5f1f-4d34-9e3d-9318f1ad915a:assetId:sys-mib-dvla-api,v1,2020-06-19T16:15:14.806Z,2020-06-15T06:20:00.890Z,,,,,
sys_policy_telematics_datapush_api,r1c3dev_awsbdlc3dmua01,sys_policy_telematics_datapush_api-1.0.1-311.zip,STARTED,17.4days,sys_policy_telematics_datapush_api,1.0:16059059,groupId:80b9d969-5f1f-4d34-9e3d-9318f1ad915a:assetId:sys_policy_telematics_datapush_api,1.0,2020-06-19T16:15:07.684Z,2020-03-16T11:54:05.890Z,,Azure JWT Validation - v1,enabled,2020-03-16T11:54:05.890Z,
sys_sf_activities_api,r1c3dev_awsbdlc3dmua01,sys_sf_activities_api-1.0.0-307.zip,STARTED,17.4days,system-gw-activities,v1:16059035,groupId:80b9d969-5f1f-4d34-9e3d-9318f1ad915a:assetId:system-gw-activities,v1,2020-06-19T16:15:32.001Z,2020-03-16T11:41:03.857Z,,Custom - LDAPs Cache - v3,enabled,2020-03-16T11:41:03.857Z,
sys_telematics_app_scores_api,r1c3dev_awsbdlc3dmua01,sys_telematics_app_scores_api-1.0.1-268.zip,STARTED,17.4days,telematics-app-policy-scores-api,v1:16059066,groupId:80b9d969-5f1f-4d34-9e3d-9318f1ad915a:assetId:telematics-app-policy-scores-api,v1,2020-06-19T16:15:34.179Z,2020-03-16T11:58:11.151Z,,Custom - LDAPs Cache - v3,enabled,2020-03-16T11:58:11.151Z,
sys_telematics_datapush_routing_api,r1c3dev_awsbdlc3dmua01,sys_telematics_datapush_routing_api-1.0.0-295.zip,STARTED,17.4days,telematics-datapush-routing-api,v1:16059037,groupId:80b9d969-5f1f-4d34-9e3d-9318f1ad915a:assetId:telematics-datapush-routing-api,v1,2020-06-19T16:15:34.284Z,2020-03-16T11:41:52.949Z,,,,,
sys_policy_telematics_policyanddrivers_api,r1c3dev_awsbdlc3dmua01,sys_policy_telematics_policyanddrivers_api-1.0.1-314.zip,STARTED,17.4days,telematics-policy-and-driver-api,v1:16059065,groupId:80b9d969-5f1f-4d34-9e3d-9318f1ad915a:assetId:telematics-policy-and-driver-api,v1,2020-06-19T16:15:11.680Z,2020-03-16T11:57:23.212Z,,Custom - LDAPs Cache - v3,enabled,2020-03-16T11:57:23.212Z,
sys_policy_telematics_scores_api,r1c3dev_awsbdlc3dmua01,sys_policy_telematics_scores_api-1.0.1-316.zip,STARTED,17.4days,telematics-score-api,v1:16162113,groupId:80b9d969-5f1f-4d34-9e3d-9318f1ad915a:assetId:telematics-score-api,v1,2020-06-19T16:15:10.684Z,2020-05-21T07:41:56.984Z,,Custom - LDAPs Cache - v3,enabled,2020-05-21T07:41:56.984Z,
sys_policy_telematics_sendorder_api,r1c3dev_awsbdlc3dmua01,sys_policy_telematics_sendorder_api-1.0.1-216.zip,STARTED,17.4days,telematics-sendorder-api,v1:16059176,groupId:80b9d969-5f1f-4d34-9e3d-9318f1ad915a:assetId:telematics-sendorder-api,v1,2020-06-19T16:15:34.812Z,2020-03-16T12:51:23.192Z,,Custom - LDAPs Cache - v3,enabled,2020-03-16T12:51:23.192Z,
sys_quotestore_policy_updatepcwquotestatus_api,r1c3dev_awsbdlc3dmua01,sys_quotestore_policy_updatepcwquotestatus_api-1.0.1-317.zip,STARTED,17.4days,update-pcw-quote-status-api,v1:16059177,groupId:80b9d969-5f1f-4d34-9e3d-9318f1ad915a:assetId:update-pcw-quote-status-api,v1,2020-06-19T16:15:31.441Z,2020-03-16T12:52:18.783Z,,Custom - LDAPs Cache - v3,enabled,2020-03-16T12:52:18.783Z,
sys_claims_vehiclelookup_api,r1c3dev_awsbdlc3dmua01,sys_claims_vehiclelookup_api-1.0.1-272.zip,STARTED,17.4days,vehicle-lookup-api,v1:16059179,groupId:80b9d969-5f1f-4d34-9e3d-9318f1ad915a:assetId:vehicle-lookup-api,v1,2020-06-19T16:15:32.561Z,2020-03-16T12:53:08.586Z,,Custom - LDAPs Cache - v3,enabled,2020-03-16T12:53:08.586Z,
sys_gw_worldpay_notifications_api,r1c3dev_awsbdlc3dmua01,sys_gw_worldpay_notifications_api-1.0.1-216.zip,DEPLOYMENT_FAILED,-.0days,Worldpay-Notification-API,v1:16059226,groupId:80b9d969-5f1f-4d34-9e3d-9318f1ad915a:assetId:Worldpay-Notification-API,v1,,2020-03-16T13:11:53.677Z,,Custom - LDAPs Cache - v4,enabled,2020-03-16T13:11:53.677Z,
sys_gw_worldpay_notifications_api,r1c3dev_awsbdlc3dmua01,sys_gw_worldpay_notifications_api-1.0.1-216.zip,DEPLOYMENT_FAILED,-.0days,worldpay-notification---card-updater-notification-api,v1:16059181,groupId:80b9d969-5f1f-4d34-9e3d-9318f1ad915a:assetId:worldpay-notification---card-updater-notification-api,v1,2020-05-29T12:46:43.824Z,2020-03-16T12:54:02.549Z,,Custom - LDAPs Cache - v3,enabled,2020-03-16T12:54:02.549Z,
sys_gw_worldpay_payment_api,r1c3dev_awsbdlc3dmua01,sys_gw_worldpay_payment_api-1.0.1-245.zip,STARTED,17.4days,worldpay-payment-api,v1:16059228,groupId:80b9d969-5f1f-4d34-9e3d-9318f1ad915a:assetId:worldpay-payment-api,v1,2020-06-19T16:15:33.279Z,2020-03-16T13:12:42.139Z,,Custom - LDAPs Cache - v3,enabled,2020-03-16T13:12:42.139Z,
